dose,filter,filename,snr,cnr,precision,recall,dice,exec_time_s
1.0,original,1.png,5.296053931413769,1.1195347767983161,0.5031788640855445,0.6767695961988819,0.5772051375552044,8.400005754083395e-06
1.0,original,10.png,4.506743147031376,0.21097740205634608,0.21521354064150008,0.6752083976525545,0.32639355271994624,0.001340300019364804
1.0,original,100.png,8.039018930319614,1.1258638681543651,0.6066661069594436,0.6336373202379572,0.6198584602187432,0.00026240001898258924
1.0,original,101.png,4.5560378598591615,0.5436523538205515,0.44633821571198723,0.8608115048778278,0.587863907400912,0.00022960000205785036
1.0,original,102.png,4.4887522462687635,0.3638916086377395,0.36012936012894414,0.39669211195878284,0.3775275457077128,0.0003622999647632241
1.0,original,103.png,5.890251019447735,0.42625892550140626,0.4000130872919775,0.7048310849755507,0.5103736171989146,0.0002731999848037958
1.0,original,104.png,4.366330190502313,0.9659738088458381,0.2071694284746654,0.3831144465286015,0.2689201053555751,0.0003160999622195959
1.0,original,105.png,4.16425381846086,1.1969511498240772,0.39517507756576004,0.8256383119449323,0.5345152449468996,0.0005282999482005835
1.0,original,106.png,3.807238285839434,0.9522038570989761,0.5284623144537708,0.546416331395401,0.5372893772893773,0.00045960000716149807
1.0,original,107.png,5.071241925434416,1.0509169724306506,0.5801172447477039,0.5403868031848231,0.5595476498998704,0.00016009999671950936
1.0,original,108.png,5.572324822254801,0.4441057620032506,0.544492059490456,0.6528638355745406,0.593773623805924,0.00026110000908374786
1.0,original,109.png,6.060203132902098,0.7053989889732271,0.24002091685529017,0.45415567282247005,0.31406089633937734,0.0003073000116273761
1.0,original,11.png,5.6280972832274045,0.25755837518343033,0.33301919122658236,0.7206154987009258,0.4555256064690027,0.00020429998403415084
1.0,original,110.png,3.409576536086963,0.12344919904442789,0.483540158565595,0.6785584713983812,0.5646857545413375,0.00023319997126236558
1.0,original,112.png,5.539493930676528,0.9008726605266981,0.4389894650708607,0.8707648610256941,0.5837073303413572,0.0003501999890431762
1.0,original,113.png,3.4606577092103485,0.4733973306549746,0.5142353459669332,0.5959141981607804,0.5520700260231843,0.0002948000328615308
1.0,original,114.png,4.188172329963991,0.1322797241508971,0.37578267016726336,0.47705128205067043,0.42040447407072645,0.0002714999718591571
