filename,dose,snr,cnr,dice,precision,recall
1.png,1.0,5.296053931413769,1.1195347767983161,0.5772051375552044,0.5031788640855445,0.6767695961988819
1.png,0.5,4.323840008811149,0.9117854852384575,0.5629605766520356,0.4885378809054455,0.6641330166264473
1.png,0.25,3.76649169686582,0.7894175929028857,0.5617889059485847,0.4796316214032807,0.6779097387166956
1.png,0.1,2.9169520464063923,0.6056227986130086,0.5392438070404172,0.4435049019605125,0.6876959619945959
1.png,0.05,2.311552025997058,0.47107127450093045,0.4530545305453055,0.3274628508529158,0.7349168646073777
10.png,1.0,4.506743147031376,0.21097740205634608,0.32639355271994624,0.21521354064150008,0.6752083976525545
10.png,0.5,3.8306303711378322,0.1844425624116006,0.32219340496480176,0.21197347893905422,0.6711948132129189
10.png,0.25,3.4007577843069487,0.15551080114482704,0.3059769952720344,0.1983168679106301,0.6693423896253947
10.png,0.1,2.687720739555363,0.11216199178725879,0.2831323321612829,0.17985221057897555,0.6650200679211716
10.png,0.05,2.1611871653999315,0.09233200428248807,0.26800223283508035,0.16768860602290914,0.6670268601409894
100.png,1.0,8.039018930319614,1.1258638681543651,0.6198584602187432,0.6066661069594436,0.6336373202379572
100.png,0.5,5.542438540632684,0.7711506281080502,0.6079378846074422,0.5745959871960539,0.6453875833035378
100.png,0.25,4.496468816364329,0.6218221901823072,0.5794275910473368,0.52169639095596,0.6515257804273487
100.png,0.1,3.221458187239449,0.4419705398838057,0.42943702570739456,0.32309462689195223,0.6401262714831286
100.png,0.05,2.458588430768736,0.32379632062597086,0.31261593656358927,0.20364911162451768,0.6723956506483054
101.png,1.0,4.5560378598591615,0.5436523538205515,0.587863907400912,0.44633821571198723,0.8608115048778278
101.png,0.5,3.825463825911106,0.465285467445883,0.5653505596703235,0.4189501485635367,0.869029275807449
101.png,0.25,3.3737897407502624,0.41427200012168763,0.5140220456293259,0.3668764636999657,0.8582434514623212
101.png,0.1,2.6306647880748453,0.31166138504896596,0.3990524639819813,0.25806127574070414,0.8796438965915432
101.png,0.05,2.090400351765006,0.22347580754949042,0.2502603703609622,0.14693074032090112,0.8433487416523826
102.png,1.0,4.4887522462687635,0.3638916086377395,0.3775275457077128,0.36012936012894414,0.39669211195878284
102.png,0.5,3.8488909563146936,0.31487842345129574,0.38798672952680285,0.3575796588345053,0.42404580152617805
102.png,0.25,3.440548616964217,0.28124599367210434,0.3892822749674276,0.350862861227049,0.43715012722590696
102.png,0.1,2.758790299196132,0.2063543761230417,0.3644679561360004,0.32147370467549186,0.4207379134854698
102.png,0.05,2.226879365637461,0.16914048444536645,0.33604945209328463,0.2454700052775198,0.5325699745540298
103.png,1.0,5.890251019447735,0.42625892550140626,0.5103736171989146,0.4000130872919775,0.7048310849755507
103.png,0.5,4.615904166853336,0.33401883303023183,0.5314395763119885,0.4562288170617043,0.6363426726615515
103.png,0.25,3.952686894331274,0.2854245495213181,0.38823529411764707,0.26104066462604403,0.7571774472492134
103.png,0.1,2.9731743696416464,0.20723535973641247,0.3839491135471647,0.2717042570510598,0.6542142280633526
103.png,0.05,2.3048647189763964,0.14918054742669604,0.25255873699912984,0.15394135326947847,0.7027556785417931
104.png,1.0,4.366330190502313,0.9659738088458381,0.2689201053555751,0.2071694284746654,0.3831144465286015
104.png,0.5,3.8167614833594206,0.8489245563250202,0.277342325920525,0.2181518388413376,0.38061288305143137
104.png,0.25,3.4614228619984946,0.756901252582278,0.2849727020495838,0.22186607205057357,0.3982489055654806
104.png,0.1,2.8539367380966163,0.6156185804139529,0.2534130723692159,0.16704495679521877,0.5247029393364294
104.png,0.05,2.342300497746774,0.48173368226658153,0.1957040572792363,0.11885014896526322,0.5538461538454611
105.png,1.0,4.16425381846086,1.1969511498240772,0.5345152449468996,0.39517507756576004,0.8256383119449323
105.png,0.5,3.68311739435844,1.061872610751865,0.5411400567449058,0.4008151308664581,0.8326498214038462
105.png,0.25,3.367647507630336,0.9642488476648066,0.5069746992285863,0.3632302405496201,0.8389998677062588
105.png,0.1,2.80742310328672,0.7844838028121026,0.4565717572620075,0.31347188626138445,0.8400582087566608
105.png,0.05,2.3333127577169437,0.6244190474712391,0.36243741604591523,0.23558360122227423,0.7852890593983526
106.png,1.0,3.807238285839434,0.9522038570989761,0.5372893772893773,0.5284623144537708,0.546416331395401
106.png,0.5,3.344395580088767,0.838051712146403,0.5196996782266714,0.4995875721741826,0.541499031440111
106.png,0.25,3.036038569358975,0.7526818396186892,0.5037506021608974,0.4680306905364859,0.5453732677685212
106.png,0.1,2.4635697753377896,0.6092116589073459,0.47705180263319796,0.4062663732574596,0.5777082402017916
106.png,0.05,2.0087735219924303,0.4822843433322285,0.3562956000179043,0.2546385156748211,0.5930561764258784
107.png,1.0,5.071241925434416,1.0509169724306506,0.5595476498998704,0.5801172447477039,0.5403868031848231
107.png,0.5,4.167981380680776,0.8618530349051553,0.5505656108597285,0.5474690663660883,0.5536973833895862
107.png,0.25,3.6240549900029526,0.7525507721005086,0.5606471989804399,0.5465053473041519,0.5755403868025306
107.png,0.1,2.7996361242184604,0.56937051957121,0.506109069236118,0.4491361071928339,0.5796359499424577
107.png,0.05,2.2072627105440445,0.46136644966654394,0.37551138626407443,0.27539695183459434,0.5899886234350512
108.png,1.0,5.572324822254801,0.4441057620032506,0.593773623805924,0.544492059490456,0.6528638355745406
108.png,0.5,4.533573626720667,0.35882818638695213,0.5941026078063746,0.5412086205822364,0.6584554934255263
108.png,0.25,3.9601394946113424,0.3193684437333163,0.5961673522624661,0.5347693046135868,0.6734925192680418
108.png,0.1,3.058591634231046,0.24300206348541417,0.5903554807406673,0.5241165094060106,0.6757594075860089
108.png,0.05,2.4171402022091777,0.18399261084813345,0.45844200321399403,0.35191102123342693,0.6574731751544072
109.png,1.0,6.060203132902098,0.7053989889732271,0.31406089633937734,0.24002091685529017,0.45415567282247005
109.png,0.5,4.618406191517031,0.5448197783584281,0.31640821810446174,0.2395118230356475,0.46602902374593336
109.png,0.25,3.8760051709937153,0.44386383291144565,0.32105063222445324,0.23926231497190062,0.48779683377228267
109.png,0.1,2.8625199408940873,0.3410823519662206,0.3207416905020219,0.22878851836201716,0.5362796833764244
109.png,0.05,2.200060237674888,0.2609468648334369,0.25613418296345125,0.1646266829864586,0.5766820580465424
11.png,1.0,5.6280972832274045,0.25755837518343033,0.4555256064690027,0.33301919122658236,0.7206154987009258
11.png,0.5,4.425757512470926,0.20687592709473604,0.45832872163807414,0.32668034080125696,0.7677048572473717
11.png,0.25,3.7769645102976828,0.16334375070536952,0.3949704901206056,0.2730821091474891,0.7133852428611173
11.png,0.1,2.8147145581512105,0.11910311632402125,0.37383776851554984,0.2626126126124154,0.6484983314782193
11.png,0.05,2.1905857188188045,0.11526880585849433,0.21135184771548407,0.12200922662536978,0.7893956247667976
110.png,1.0,3.409576536086963,0.12344919904442789,0.5646857545413375,0.483540158565595,0.6785584713983812
110.png,0.5,3.135294469708046,0.10967701800143342,0.5520085387153114,0.4609090172563713,0.6879912927794316
110.png,0.25,2.939754121348406,0.10380262133698873,0.5259006990500089,0.4177404427988768,0.7096384085128677
110.png,0.1,2.5524518388734876,0.08110386236659659,0.3902175381705175,0.27072884930852087,0.6985125166275262
110.png,0.05,2.1912709534245702,0.04602410949323878,0.2870268012872479,0.18009741661009307,0.7064941347191842
112.png,1.0,5.539493930676528,0.9008726605266981,0.5837073303413572,0.4389894650708607,0.8707648610256941
112.png,0.5,4.436675950900435,0.7262917128838549,0.5763910132218484,0.4334202320705242,0.8601136133081151
112.png,0.25,3.8331831775956173,0.6250418908969765,0.5727567639878265,0.4272314523771754,0.8686346114821782
112.png,0.1,2.913949176503931,0.4683023953375283,0.539807188916555,0.3938419973912829,0.8576790424012398
112.png,0.05,2.282164603808632,0.3581221391539635,0.47844438622536606,0.33549704021215127,0.8336376546958473
113.png,1.0,3.4606577092103485,0.4733973306549746,0.5520700260231843,0.5142353459669332,0.5959141981607804
113.png,0.5,3.126476244973217,0.4239483297836107,0.5250893561713782,0.48123883263806577,0.5777323799789809
